emp_no,birth_date
10001,1953-09-02
10004,1954-05-01
10005,1955-01-21
10006,1953-04-20
10009,1952-04-19
10018,1954-06-19
10019,1953-01-23
10020,1952-12-24
10022,1952-07-08
10023,1953-09-29
10026,1953-04-03
10035,1953-02-08
10047,1952-06-29
10051,1953-07-28
10053,1954-09-13
10057,1954-05-30
10058,1954-10-01
10059,1953-09-19
10063,1952-08-06
10066,1952-11-13
10067,1953-01-07
10070,1955-08-20
10072,1952-05-15
10074,1955-08-28
10076,1952-06-13
10088,1954-02-25
10091,1955-10-04
10096,1954-09-16
10097,1952-02-27
10100,1953-04-21
10103,1953-11-26
10106,1952-08-29
10126,1954-08-07
10127,1952-02-24
10129,1955-12-02
10130,1955-04-27
10134,1953-04-15
10138,1955-04-24
10150,1955-01-29
10153,1955-12-15
10157,1954-04-23
10159,1955-03-03
10160,1953-10-18
10163,1952-09-17
10166,1953-05-10
10183,1954-10-17
10194,1954-01-29
10196,1954-01-27
10198,1953-05-28
10203,1955-07-27
10205,1953-05-20
10207,1955-05-28
10215,1954-04-02
10219,1952-05-02
10224,1954-05-17
10228,1953-04-21
10230,1955-09-11
10233,1954-04-01
10239,1955-03-31
10240,1952-04-01
10248,1955-09-24
10249,1954-06-10
10258,1955-12-12
10262,1955-08-04
10272,1954-11-30
10281,1953-05-13
10282,1953-11-27
10283,1953-07-08
10284,1954-04-08
10295,1953-01-13
10298,1954-07-06
10306,1953-06-02
10307,1955-07-20
10322,1954-05-28
10325,1953-01-12
10326,1953-02-13
10328,1955-06-28
10333,1953-04-27
10340,1952-08-20
10343,1954-11-01
10347,1953-10-03
10349,1954-04-29
10353,1953-01-15
10355,1952-12-10
10356,1952-08-12
10358,1953-04-08
10364,1954-09-21
10367,1955-12-24
10372,1952-04-08
10377,1954-08-19
10387,1952-11-03
10388,1953-03-29
10389,1953-03-24
10396,1955-08-21
10397,1955-11-11
10402,1953-07-23
10404,1955-04-27
10407,1955-07-05
10413,1952-05-05
10418,1952-06-29
10422,1954-06-02
10426,1955-12-28
10429,1952-02-13
10432,1953-11-06
10433,1954-09-02
10451,1952-10-06
10453,1953-07-19
10463,1954-05-20
10477,1952-12-07
10486,1952-08-24
10494,1953-12-21
10497,1953-06-09
10499,1953-10-04
10503,1952-05-17
10504,1953-04-07
10509,1953-10-03
10512,1955-11-16
10517,1953-06-18
10522,1955-07-24
10529,1952-11-21
10531,1954-06-11
10542,1955-01-05
10548,1952-06-12
10552,1953-03-25
10564,1955-04-14
10568,1953-12-02
10586,1954-06-23
10593,1952-07-24
10596,1954-01-24
10603,1955-08-02
10610,1955-06-24
10614,1953-07-11
10615,1955-08-30
10623,1953-07-11
10624,1955-12-19
10628,1954-04-18
10630,1954-08-10
10631,1955-05-17
10634,1954-08-01
10636,1955-08-25
10639,1953-04-18
10641,1953-12-24
10642,1955-12-19
10653,1953-06-16
10667,1955-08-05
10671,1953-06-12
10676,1953-08-26
10683,1952-06-18
10693,1953-12-14
10696,1952-03-23
10702,1952-11-25
10712,1952-04-12
10718,1955-12-19
10726,1954-01-11
10734,1954-07-06
10741,1954-01-02
